place_id,place_name,city,state,source_url,final_resolved_url,http_status,page_title,source_quality,validation_result,audit_note
"varanasi-dashashwamedh-ghat","Dashashwamedh Ghat & Ganga Aarti","Varanasi","Uttar Pradesh","https://varanasi.nic.in/tourist-place/dashashwamedh-ghat/","https://varanasi.nic.in/tourist-place/dashashwamedh-ghat/",404,"Error 404 | District Varanasi, Government of Uttar Pradesh | India","place_specific","FAILED","[Live Audit Failed 2026-09-10] HTTP 404 (Not Found)"
"nanda-devi-national-park","Nanda Devi National Park","Chamoli","Uttarakhand","https://whc.unesco.org/en/list/335","https://whc.unesco.org/en/list/335",200,"Nanda Devi and Valley of Flowers National Parks - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Nanda Devi and Valley of Flowers National Parks - UNESCO World Heritage Centre"""
"valley-of-flowers-chamoli","Valley of Flowers National Park & Hemkund Sahib","Chamoli","Uttarakhand","https://whc.unesco.org/en/list/335","https://whc.unesco.org/en/list/335",200,"Nanda Devi and Valley of Flowers National Parks - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Nanda Devi and Valley of Flowers National Parks - UNESCO World Heritage Centre"""
"tawang-monastery","Tawang Monastery (Galden Namgey Lhatse)","Tawang","Arunachal Pradesh","https://tawang.nic.in/tourist-place/tawang-monastery/","https://tawang.nic.in/tourist-place/tawang-monastery/",404,"Error 404 | Tawang District | India","place_specific","FAILED","[Live Audit Failed 2026-09-10] HTTP 404 (Not Found)"
"tawang-sela-pass","Sela Pass & Sela Lake","Tawang","Arunachal Pradesh","https://tawang.nic.in/tourist-place/sela-pass/","https://tawang.nic.in/tourist-place/sela-pass/",404,"Error 404 | Tawang District | India","place_specific","FAILED","[Live Audit Failed 2026-09-10] HTTP 404 (Not Found)"
"ziro-apatani-landscape","Apatani Cultural Landscape & Villages","Ziro Valley","Arunachal Pradesh","https://whc.unesco.org/en/tentativelists/5893/","https://whc.unesco.org/en/tentativelists/5893/",200,"Apatani Cultural Landscape - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Apatani Cultural Landscape - UNESCO World Heritage Centre"""
"khangchendzonga-national-park","Khangchendzonga National Park","Mangan","Sikkim","https://whc.unesco.org/en/list/1513","https://whc.unesco.org/en/list/1513",200,"Khangchendzonga National Park - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Khangchendzonga National Park - UNESCO World Heritage Centre"""
"great-stupa-sanchi","Great Stupa & Buddhist Monuments at Sanchi","Sanchi","Madhya Pradesh","https://whc.unesco.org/en/list/524","https://whc.unesco.org/en/list/524",200,"Buddhist Monuments at Sanchi - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Buddhist Monuments at Sanchi - UNESCO World Heritage Centre"""
"akshardham-temple-gandhinagar","Akshardham Temple Gandhinagar","Gandhinagar","Gujarat","https://www.gujarattourism.com/central-zone/gandhinagar/akshardham-temple.html","https://gujarattourism.com:443/central-zone/gandhinagar/akshardham-temple.html",200,"Akshardham Temple","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Akshardham Temple"""
"somnath-jyotirlinga-temple-gir-somnath","Somnath Jyotirlinga Temple","Gir Somnath","Gujarat","https://somnath.org","https://somnath.org/",200,"Jay Somnath | Somnath.org","official_site","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Jay Somnath | Somnath.org"""
"kaas-plateau-satara","Kaas Plateau (Valley of Flowers of Maharashtra)","Satara","Maharashtra","https://whc.unesco.org/en/list/1363","https://whc.unesco.org/en/list/1363",200,"Prehistoric Pile Dwellings around the Alps - UNESCO World Heritage Centre","place_specific","FAILED","[Live Audit Failed 2026-09-10] UNESCO site title/content mismatch (Page Title: ""Prehistoric Pile Dwellings around the Alps - UNESCO World Heritage Centre"")"
"pattadakal-monuments-bagalkote","Pattadakal Group of Monuments & Aihole","Bagalkote","Karnataka","https://whc.unesco.org/en/list/239","https://whc.unesco.org/en/list/239",200,"Group of Monuments at Pattadakal - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Group of Monuments at Pattadakal - UNESCO World Heritage Centre"""
"chennakeshava-temple-somnathpura","Keshava (Chennakeshava) Temple Somnathpura","Somnathpura","Karnataka","https://whc.unesco.org/en/list/1670","https://whc.unesco.org/en/list/1670",200,"Sacred Ensembles of the Hoysalas - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Sacred Ensembles of the Hoysalas - UNESCO World Heritage Centre"""
"shore-temple-mamallapuram","Shore Temple & Pancha Rathas (Mamallapuram)","Mamallapuram","Tamil Nadu","https://whc.unesco.org/en/list/249","https://whc.unesco.org/en/list/249",200,"Group of Monuments at Mahabalipuram - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Group of Monuments at Mahabalipuram - UNESCO World Heritage Centre"""
